Cycle start time,Cycle end time,Cycle timezone,Workout start time,Workout end time,Duration (min),Activity name,Activity Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),HR Zone 1 %,HR Zone 2 %,HR Zone 3 %,HR Zone 4 %,HR Zone 5 %,GPS enabled,Distance (meters),Altitude gain (meters),Altitude change (meters)
2024-09-05 23:20:39,2024-09-06 21:37:41,UTC-07:00,2024-09-06 10:27:00,2024-09-06 11:10:29,43,Activity,8.2,334.0,159,129,18,48,33,0,0,false,,,
2024-09-05 23:20:39,2024-09-06 21:37:41,UTC-07:00,2024-09-06 09:04:30,2024-09-06 10:07:29,62,Hiking,8.5,395.0,159,122,37,49,14,0,0,false,,,
2024-08-31 01:50:24,2024-08-31 22:38:59,UTC-07:00,2024-08-31 17:58:30,2024-08-31 19:14:59,76,Activity,8.6,430.0,154,119,42,49,9,0,0,false,,,
2024-08-24 22:17:49,2024-08-25 23:40:46,UTC-07:00,2024-08-25 11:12:00,2024-08-25 15:05:59,233,Activity,14.1,1356.0,157,119,35,44,13,0,0,false,,,
2024-08-23 22:57:45,2024-08-24 22:17:49,UTC-07:00,2024-08-24 17:37:30,2024-08-24 18:32:59,55,Activity,5.3,151.0,142,101,47,17,0,0,0,false,,,
2024-08-21 23:22:26,2024-08-22 23:27:31,UTC-07:00,2024-08-22 18:42:00,2024-08-22 19:44:59,62,Activity,5.3,156.0,145,99,40,14,0,0,0,false,,,
2024-08-18 22:57:53,2024-08-19 22:50:36,UTC-07:00,2024-08-19 17:48:57,2024-08-19 18:22:47,33,Strength Trainer,8.9,65.0,142,95,38,3,0,0,0,false,,,
2024-08-17 23:24:31,2024-08-18 22:57:53,UTC-07:00,2024-08-18 15:51:00,2024-08-18 16:37:29,46,Activity,5.2,129.0,145,100,47,19,0,0,0,false,,,
2024-08-16 23:59:28,2024-08-17 23:24:31,UTC-07:00,2024-08-17 19:01:22,2024-08-17 20:04:37,63,Strength Trainer,12.7,149.0,156,97,34,10,2,0,0,false,,,
2024-08-15 23:13:33,2024-08-16 23:59:28,UTC-07:00,2024-08-16 18:32:51,2024-08-16 19:23:39,50,Running,12.9,630.0,171,151,0,4,75,21,0,false,,,
2024-08-14 22:38:06,2024-08-15 23:13:33,UTC-07:00,2024-08-15 18:45:00,2024-08-15 19:11:59,26,Activity,4.2,47.0,136,89,29,8,0,0,0,false,,,
2024-08-09 01:50:52,2024-08-10 04:00:33,UTC-07:00,2024-08-09 12:55:59,2024-08-09 18:11:53,315,Hiking,14.9,1681.0,155,116,35,47,7,0,0,false,,,
2024-08-06 22:54:54,2024-08-07 23:46:12,UTC-07:00,2024-08-07 17:50:20,2024-08-07 18:38:34,48,Strength Trainer,13.9,206.0,154,110,52,29,6,0,0,false,,,
2024-08-05 22:57:50,2024-08-06 22:54:54,UTC-07:00,2024-08-06 17:58:20,2024-08-06 19:05:41,67,Cycling,12.3,674.0,169,139,4,28,64,4,0,false,,,
